2026-07-10 06:47:04,979 [WARNING] ACK recibido pero contenido inesperado: '23243,0'
2026-07-10 06:47:05,011 [WARNING] ACK recibido pero contenido inesperado: '20,'
2026-07-10 06:47:05,039 [WARNING] ACK recibido pero contenido inesperado: '23246,0'
2026-07-10 06:47:05,071 [WARNING] ACK recibido pero contenido inesperado: '2310'
2026-07-10 06:47:05,100 [WARNING] ACK recibido pero contenido inesperado: '23,20'
2026-07-10 06:47:05,133 [WARNING] ACK recibido pero contenido inesperado: '2323,\rS,03,24,'
2026-07-10 06:47:05,164 [WARNING] ACK recibido pero contenido inesperado: '232'
2026-07-10 06:47:05,197 [WARNING] ACK recibido pero contenido inesperado: '0S,040'
2026-07-10 06:47:05,230 [WARNING] ACK recibido pero contenido inesperado: '23'
2026-07-10 06:47:05,259 [WARNING] ACK recibido pero contenido inesperado: '1,236,'
2026-07-10 06:47:05,307 [WARNING] ACK recibido pero contenido inesperado: '2,\rS122,0'
2026-07-10 06:47:05,339 [WARNING] ACK recibido pero contenido inesperado: '2,250'
2026-07-10 06:47:05,372 [WARNING] ACK recibido pero contenido inesperado: '23,23S103,230'
2026-07-10 06:47:05,406 [WARNING] ACK recibido pero contenido inesperado: '23,'
2026-07-10 06:47:05,436 [WARNING] ACK recibido pero contenido inesperado: '22,'
2026-07-10 06:47:05,468 [WARNING] ACK recibido pero contenido inesperado: '2,0'
2026-07-10 06:47:05,499 [WARNING] ACK recibido pero contenido inesperado: '23,220'
2026-07-10 06:47:05,530 [WARNING] ACK recibido pero contenido inesperado: '23224'
2026-07-10 06:47:05,564 [WARNING] ACK recibido pero contenido inesperado: '32S12,27,0'
2026-07-10 06:47:05,593 [WARNING] ACK recibido pero contenido inesperado: '223,'
2026-07-10 06:47:05,625 [WARNING] ACK recibido pero contenido inesperado: '2S12240'
2026-07-10 06:47:05,661 [WARNING] ACK recibido pero contenido inesperado: '2\rS1032'
2026-07-10 06:47:05,691 [WARNING] ACK recibido pero contenido inesperado: '32,0'
2026-07-10 06:47:05,786 [WARNING] ACK recibido pero contenido inesperado: ',,2230'
2026-07-10 06:47:05,818 [WARNING] ACK recibido pero contenido inesperado: ',0,02,60'
2026-07-10 06:47:05,851 [WARNING] ACK recibido pero contenido inesperado: ',9\rS1023,280'
2026-07-10 06:47:05,900 [WARNING] ACK recibido pero contenido inesperado: '2,\rS,103,2,\rA,3,2,2,\rS103,4,\rS123230'
2026-07-10 06:47:05,945 [WARNING] ACK recibido pero contenido inesperado: ',13210S03,42,,1034,,260\r,10231,0S,102,2,\rA'
2026-07-10 06:47:05,984 [WARNING] ACK recibido pero contenido inesperado: 'S1023230'
2026-07-10 06:47:06,015 [WARNING] ACK recibido pero contenido inesperado: ',2,4,0'
