rms_biceps,mav_biceps,wl_biceps,ZCR_biceps,rms_triceps,mav_triceps,wl_triceps,ZCR_triceps,rms_antebrazo,mav_antebrazo,wl_antebrazo,ZCR_antebrazo,angulo_codo,angulo_muneca,pct_mvc_rms_biceps,pct_mvc_rms_biceps_crudo,pct_mvc_mav_biceps,pct_mvc_mav_biceps_crudo,pct_mvc_wl_biceps,pct_mvc_wl_biceps_crudo,pct_mvc_ZCR_biceps,pct_mvc_ZCR_biceps_crudo,pct_mvc_rms_triceps,pct_mvc_rms_triceps_crudo,pct_mvc_mav_triceps,pct_mvc_mav_triceps_crudo,pct_mvc_wl_triceps,pct_mvc_wl_triceps_crudo,pct_mvc_ZCR_triceps,pct_mvc_ZCR_triceps_crudo,pct_mvc_rms_antebrazo,pct_mvc_rms_antebrazo_crudo,pct_mvc_mav_antebrazo,pct_mvc_mav_antebrazo_crudo,pct_mvc_wl_antebrazo,pct_mvc_wl_antebrazo_crudo,pct_mvc_ZCR_antebrazo,pct_mvc_ZCR_antebrazo_crudo,saturado_algun_canal
2.222234,1.57728,141.843856,29.0,67.687309,57.602249,7449.80718,48.0,0.828189,0.665033,62.415975,31.0,90.0,0.0,0.0,-1.2378765851937377,0.0,-2.179600693982937,0.0,-2.7786518244373912,1.4580191050779339,1.4580191050779339,0.0,-7.40998411058985,0.0,-6.28963970209411,0.0,-9.380578885545523,13.205207687538753,13.205207687538753,0.0,-1.98840160497569,0.0,-3.1580719534314134,0.0,-5.333432551323704,3.128760529482555,3.128760529482555,False
2.307518,1.640774,147.417761,29.0,70.237429,59.189351,7952.745803,50.0,0.837226,0.672902,59.934286,28.0,90.0,0.0,0.0,-1.1465852864011374,0.0,-2.066105967608047,0.0,-2.588854744782786,1.4580191050779339,1.4580191050779339,0.0,-6.081621695434645,0.0,-5.29094559990087,0.0,-6.173561022125522,47.92312461252325,47.92312461252325,0.0,-1.9639943135841054,0.0,-3.120088388275343,0.0,-5.598659797134021,0.0,-9.506618531889286,False
2.475086,1.825077,147.341173,27.0,71.801838,60.465767,8011.433544,49.0,0.830852,0.662207,58.737648,27.0,90.0,0.0,0.0,-0.9672140050813304,0.0,-1.736666673264149,0.0,-2.59146264332727,0.0,-7.926931456343215,0.0,-5.266718036967386,0.0,-4.487752653798426,0.0,-5.799335172004705,30.564166150031003,30.564166150031003,0.0,-1.9812093268993605,0.0,-3.1717130202926476,0.0,-5.726548908530318,0.0,-13.718411552346566,False
2.501784,1.867607,152.581222,26.0,70.884657,60.077272,7786.453871,48.0,0.90684,0.714044,64.224166,28.0,90.0,0.0,0.0,-0.9386354311968409,0.0,-1.6606448332048667,0.0,-2.41303369675444,0.0,-12.61940673705379,0.0,-5.74447938478414,0.0,-4.73221562166789,0.0,-7.233931357745231,13.205207687538753,13.205207687538753,0.0,-1.7759795760679196,0.0,-2.9214964658390694,0.0,-5.140184517896066,0.0,-9.506618531889286,False
2.720306,2.080793,155.585672,24.0,68.889107,57.382912,7562.067648,49.0,0.930426,0.741001,64.44552,27.0,90.0,0.0,0.0,-0.7047210135480845,0.0,-1.2795775396502411,0.0,-2.3107291479743166,0.0,-22.00435729847494,0.0,-6.783965219789148,0.0,-6.427658914654337,0.0,-8.664743374475833,30.564166150031003,30.564166150031003,0.0,-1.7122780850020884,0.0,-2.791375362025093,0.0,-5.116527600462375,0.0,-13.718411552346566,False
2.739267,2.131804,161.638073,24.0,69.12805,57.784526,7627.949881,49.0,0.978931,0.770547,66.574046,25.0,90.0,0.0,0.0,-0.6844244243120438,0.0,-1.1883960187646532,0.0,-2.1046387975469933,0.0,-22.00435729847494,0.0,-6.659499351294945,0.0,-6.1749407319803575,0.0,-8.24464142077681,30.564166150031003,30.564166150031003,0.0,-1.5812749126054066,0.0,-2.6487571874030005,0.0,-4.889044185491503,0.0,-22.141997593261127,False
2.761,2.168037,165.198856,23.0,68.66213,57.29721,7613.316974,49.0,1.049774,0.84111,72.12795,25.0,90.0,0.0,0.0,-0.6611605788467796,0.0,-1.1236299870019444,0.0,-1.9833905497415922,0.0,-26.696832579185514,0.0,-6.90219797585736,0.0,-6.481587447254109,0.0,-8.337949017363524,30.564166150031003,30.564166150031003,0.0,-1.3899408698861384,0.0,-2.308150463790372,0.0,-4.295478004791624,0.0,-22.141997593261127,False
2.79495,2.232731,160.474554,21.0,73.10814,60.371191,8170.942971,49.0,1.082673,0.866849,73.981147,25.0,90.0,0.0,0.0,-0.6248191831100791,0.0,-1.0079902757206085,0.0,-2.1442577914700403,0.0,-36.08178314060666,0.0,-4.586262811471302,0.0,-4.547265207754646,0.0,-4.782213880500933,30.564166150031003,30.564166150031003,0.0,-1.3010866616874284,0.0,-2.183908630831662,0.0,-4.097420014344818,0.0,-22.141997593261127,False
2.720878,2.133726,158.763857,22.0,75.959073,61.572335,8255.784306,47.0,1.104799,0.889378,75.808783,26.0,90.0,0.0,0.0,-0.7041087225801494,0.0,-1.1849604679394956,0.0,-2.2025087474468457,0.0,-31.389307859896086,0.0,-3.10120632576645,0.0,-3.7914376499261033,0.0,-4.241218092031933,0.0,-4.153750774953496,0.0,-1.2413283647603282,0.0,-2.0751614279594923,0.0,-3.9020938221330694,0.0,-17.930204572803845,False
2.716962,2.135533,154.186755,19.0,74.841483,59.982074,8166.29817,47.0,1.087998,0.863432,71.316586,23.0,90.0,0.0,0.0,-0.7083005607452426,0.0,-1.1817304781678724,0.0,-2.358363680905749,0.0,-45.46673370202781,0.0,-3.683361107327047,0.0,-4.792119573109319,0.0,-4.811831728679263,0.0,-4.153750774953496,0.0,-1.2867048063526725,0.0,-2.2004024473443438,0.0,-4.3821914644836495,0.0,-30.565583634175685,False
